ID,Name,StudyHours,Attendance,Marks,Grade,Result,Performance_Score
2,Student_2,9.6,61,60.0,C,Pass,67.4
8,Student_8,8.8,70,67.9,C,Pass,72.34
12,Student_12,9.7,65,50.5,D,Pass,62.699999999999996
13,Student_13,8.5,55,69.99137749737118,C,Pass,69.9948264984227
26,Student_26,8.1,59,99.5,A,Pass,87.7
34,Student_34,9.5,56,47.7,D,Pass,58.82
35,Student_35,9.7,63,89.6,B,Pass,85.75999999999999
36,Student_36,8.3,64,86.9,B,Pass,81.53999999999999
44,Student_44,9.2,78,73.2,C,Pass,77.92
51,Student_51,9.7,91,69.8,C,Pass,79.47999999999999
53,Student_53,9.5,66,91.1,A,Pass,86.86
54,Student_54,9.1,63,52.5,D,Pass,62.3
56,Student_56,9.3,73,47.0,D,Pass,61.4
63,Student_63,8.5,92,58.3,D,Pass,70.38
68,Student_68,8.2,88,60.8,C,Pass,70.47999999999999
70,Student_70,9.9,98,78.5,B,Pass,86.5
74,Student_74,8.3,74,95.4,A,Pass,88.64000000000001
81,Student_81,8.8,93,48.8,D,Pass,65.47999999999999
89,Student_89,9.0,67,65.9,C,Pass,70.94
105,Student_105,9.2,88,81.7,B,Pass,85.02000000000001
113,Student_113,9.4,63,43.7,D,Pass,57.620000000000005
114,Student_114,8.3,79,70.6,C,Pass,74.75999999999999
116,Student_116,8.8,53,88.8,B,Pass,81.47999999999999
117,Student_117,8.2,67,76.9,B,Pass,75.94
119,Student_119,9.0,74,77.4,B,Pass,79.24000000000001
121,Student_121,8.3,50,65.6,C,Pass,65.96
122,Student_122,9.1,95,47.8,D,Pass,65.88
127,Student_127,8.4,73,64.8,C,Pass,70.28
128,Student_128,8.7,53,89.7,B,Pass,81.82
135,Student_135,9.5,95,55.6,D,Pass,71.36
140,Student_140,9.7,74,40.7,D,Pass,58.62
141,Student_141,9.7,56,69.99137749737118,C,Pass,72.5948264984227
151,Student_151,9.2,83,69.3,C,Pass,76.58
155,Student_155,9.9,52,68.6,C,Pass,71.36
166,Student_166,8.5,91,55.3,D,Pass,68.38
179,Student_179,9.4,58,84.2,B,Pass,80.92
183,Student_183,9.3,83,45.1,D,Pass,62.26
184,Student_184,8.9,60,83.0,B,Pass,79.6
187,Student_187,8.4,77,40.7,D,Pass,56.620000000000005
192,Student_192,9.1,83,61.0,C,Pass,71.4
193,Student_193,9.1,61,86.5,B,Pass,82.3
198,Student_198,9.1,74,69.99137749737118,C,Pass,74.99482649842271
199,Student_199,9.0,54,85.9,B,Pass,80.34
204,Student_204,9.1,87,57.7,D,Pass,70.22
220,Student_220,8.6,94,74.9,C,Pass,80.94000000000001
227,Student_227,9.8,89,53.5,D,Pass,69.5
229,Student_229,9.0,62,65.9,C,Pass,69.94
231,Student_231,8.2,82,76.8,B,Pass,78.88
241,Student_241,9.5,62,90.8,A,Pass,85.88
242,Student_242,9.6,92,95.1,A,Pass,94.66
243,Student_243,9.2,94,55.1,D,Pass,70.25999999999999
246,Student_246,9.4,85,90.5,A,Pass,90.1
248,Student_248,9.7,87,86.6,B,Pass,88.75999999999999
249,Student_249,9.7,56,79.4,B,Pass,78.24000000000001
250,Student_250,8.7,54,50.6,D,Pass,58.559999999999995
253,Student_253,8.7,100,96.2,A,Pass,95.12
257,Student_257,9.4,59,83.6,B,Pass,80.75999999999999
262,Student_262,9.9,80,84.0,B,Pass,86.2
265,Student_265,8.9,51,70.5,C,Pass,70.3
271,Student_271,8.3,51,85.7,B,Pass,78.22
