ID,Name,StudyHours,Attendance,Marks,Grade,Result,Performance_Score
1,Student_1,4.4,96,59.5,D,Pass,63.7
2,Student_2,9.6,61,60.0,C,Pass,67.4
3,Student_3,7.6,65,80.2,B,Pass,76.32
4,Student_4,6.4,73,99.6,A,Pass,87.15999999999998
5,Student_5,2.4,68,79.7,B,Pass,66.22
6,Student_6,2.4,57,73.5,C,Pass,60.3
7,Student_7,1.5,80,83.8,B,Pass,69.28
8,Student_8,8.8,70,67.9,C,Pass,72.34
9,Student_9,6.4,66,43.6,D,Pass,52.16
10,Student_10,7.4,72,73.7,C,Pass,73.42
11,Student_11,1.2,86,97.5,A,Pass,78.10000000000001
12,Student_12,9.7,65,50.5,D,Pass,62.699999999999996
13,Student_13,8.5,55,69.99137749737118,C,Pass,69.9948264984227
14,Student_14,2.9,57,52.1,D,Pass,48.459999999999994
15,Student_15,2.6,74,72.1,C,Pass,63.260000000000005
16,Student_16,2.7,67,45.8,D,Pass,46.279999999999994
17,Student_17,3.7,74,67.0,C,Pass,62.4
18,Student_18,5.7,61,85.4,B,Pass,74.84
19,Student_19,4.9,64,60.9,C,Pass,59.14
20,Student_20,3.6,75,79.9,B,Pass,70.14
21,Student_21,6.5,90,87.7,B,Pass,83.62
22,Student_22,2.3,94,95.6,A,Pass,80.75999999999999
23,Student_23,3.6,75,69.99137749737118,C,Pass,64.1948264984227
24,Student_24,4.3,96,64.0,C,Pass,66.2
25,Student_25,5.1,81,49.1,D,Pass,55.86
26,Student_26,8.1,59,99.5,A,Pass,87.7
27,Student_27,2.8,65,95.6,A,Pass,75.95999999999998
28,Student_28,5.6,56,72.4,C,Pass,65.84
29,Student_29,6.3,66,90.5,A,Pass,80.1
30,Student_30,1.4,72,71.3,C,Pass,59.97999999999999
31,Student_31,6.5,75,77.4,B,Pass,74.44
32,Student_32,2.5,70,45.3,D,Pass,46.17999999999999
33,Student_33,1.6,71,85.3,B,Pass,68.58
34,Student_34,9.5,56,47.7,D,Pass,58.82
35,Student_35,9.7,63,89.6,B,Pass,85.75999999999999
36,Student_36,8.3,64,86.9,B,Pass,81.53999999999999
