ID,Name,StudyHours,Attendance,Marks,Grade,Result,Performance_Score
4,Student_4,6.4,73,99.6,A,Pass,87.15999999999998
11,Student_11,1.2,86,97.5,A,Pass,78.10000000000001
22,Student_22,2.3,94,95.6,A,Pass,80.75999999999999
26,Student_26,8.1,59,99.5,A,Pass,87.7
27,Student_27,2.8,65,95.6,A,Pass,75.95999999999998
29,Student_29,6.3,66,90.5,A,Pass,80.1
43,Student_43,1.3,72,96.2,A,Pass,74.72
50,Student_50,2.7,67,95.2,A,Pass,75.92
52,Student_52,8.0,88,99.5,A,Pass,93.3
53,Student_53,9.5,66,91.1,A,Pass,86.86
55,Student_55,6.4,80,95.8,A,Pass,86.27999999999999
59,Student_59,1.4,94,92.7,A,Pass,77.22
60,Student_60,3.9,83,92.1,A,Pass,79.66
69,Student_69,1.7,64,98.5,A,Pass,75.3
73,Student_73,1.0,71,91.7,A,Pass,71.22
74,Student_74,8.3,74,95.4,A,Pass,88.64000000000001
86,Student_86,3.9,79,97.8,A,Pass,82.27999999999999
88,Student_88,6.7,62,97.9,A,Pass,84.54
103,Student_103,3.8,79,99.7,A,Pass,83.22
106,Student_106,3.2,69,99.0,A,Pass,79.60000000000001
115,Student_115,6.7,99,99.8,A,Pass,93.08
123,Student_123,3.9,64,93.2,A,Pass,76.52
142,Student_142,3.3,53,98.6,A,Pass,76.35999999999999
144,Student_144,3.7,69,97.6,A,Pass,79.76
149,Student_149,1.5,59,90.7,A,Pass,69.22
160,Student_160,7.6,72,93.5,A,Pass,85.7
161,Student_161,4.3,98,97.3,A,Pass,86.57999999999998
167,Student_167,3.9,84,90.5,A,Pass,78.89999999999999
169,Student_169,1.4,67,94.1,A,Pass,72.66
173,Student_173,5.6,81,93.7,A,Pass,83.62
188,Student_188,6.0,78,97.4,A,Pass,86.03999999999999
203,Student_203,2.5,64,98.1,A,Pass,76.66
215,Student_215,7.4,54,98.1,A,Pass,84.46
226,Student_226,3.2,83,95.7,A,Pass,80.42000000000002
232,Student_232,5.5,55,96.6,A,Pass,79.96
236,Student_236,7.5,89,93.2,A,Pass,88.72
240,Student_240,2.6,90,91.7,A,Pass,78.22000000000001
241,Student_241,9.5,62,90.8,A,Pass,85.88
242,Student_242,9.6,92,95.1,A,Pass,94.66
246,Student_246,9.4,85,90.5,A,Pass,90.1
252,Student_252,4.5,94,99.1,A,Pass,87.25999999999999
253,Student_253,8.7,100,96.2,A,Pass,95.12
261,Student_261,6.5,88,90.4,A,Pass,84.84
269,Student_269,4.2,61,92.4,A,Pass,76.04
277,Student_277,8.2,90,99.5,A,Pass,94.1
294,Student_294,4.2,77,97.5,A,Pass,82.30000000000001
299,Student_299,6.6,71,92.6,A,Pass,82.96
300,Student_300,1.8,53,99.8,A,Pass,74.07999999999998
304,Student_304,6.7,99,93.2,A,Pass,89.12
342,Student_342,5.3,84,99.9,A,Pass,87.33999999999999
343,Student_343,2.6,62,96.0,A,Pass,75.2
350,Student_350,6.6,81,90.4,A,Pass,83.64
363,Student_363,5.1,70,96.4,A,Pass,82.04
366,Student_366,4.5,86,92.4,A,Pass,81.64
367,Student_367,9.7,69,90.5,A,Pass,87.5
384,Student_384,8.9,65,97.4,A,Pass,89.24
390,Student_390,8.3,78,94.4,A,Pass,88.84
400,Student_400,7.8,73,94.4,A,Pass,86.84
405,Student_405,3.9,74,94.0,A,Pass,79.0
408,Student_408,1.1,56,97.8,A,Pass,72.08
410,Student_410,1.8,93,96.2,A,Pass,79.91999999999999
415,Student_415,6.7,97,98.9,A,Pass,92.14000000000001
432,Student_432,7.9,81,91.6,A,Pass,86.96
441,Student_441,1.8,71,96.7,A,Pass,75.82
442,Student_442,9.9,100,91.0,A,Pass,94.39999999999999
461,Student_461,2.1,82,92.7,A,Pass,76.22
462,Student_462,6.8,82,92.8,A,Pass,85.67999999999999
463,Student_463,7.7,90,92.2,A,Pass,88.72
466,Student_466,4.4,82,99.1,A,Pass,84.66
479,Student_479,9.7,91,97.9,A,Pass,96.34
488,Student_488,3.5,58,94.9,A,Pass,75.54
494,Student_494,2.7,61,91.4,A,Pass,72.44000000000001
495,Student_495,5.2,57,94.4,A,Pass,78.44000000000001
497,Student_497,6.3,99,99.0,A,Pass,91.8
501,Student_501,7.3,56,93.6,A,Pass,81.96
507,Student_507,9.2,71,92.9,A,Pass,88.34
510,Student_510,7.5,90,98.0,A,Pass,91.8
512,Student_512,4.8,63,99.0,A,Pass,81.6
516,Student_516,1.2,72,92.9,A,Pass,72.54
527,Student_527,4.7,78,91.5,A,Pass,79.9
551,Student_551,5.7,70,90.5,A,Pass,79.7
553,Student_553,6.0,73,98.7,A,Pass,85.82
561,Student_561,7.3,99,91.3,A,Pass,89.17999999999999
563,Student_563,2.2,100,90.2,A,Pass,78.52000000000001
573,Student_573,4.6,55,96.3,A,Pass,77.98
574,Student_574,6.6,88,92.3,A,Pass,86.17999999999999
579,Student_579,5.4,52,94.4,A,Pass,77.84
585,Student_585,6.7,82,91.9,A,Pass,84.94000000000001
588,Student_588,2.2,57,98.6,A,Pass,74.96000000000001
593,Student_593,2.6,91,95.1,A,Pass,80.46
595,Student_595,9.1,63,91.5,A,Pass,85.7
597,Student_597,7.0,51,94.6,A,Pass,80.96
601,Student_601,2.5,94,97.8,A,Pass,82.47999999999999
606,Student_606,5.1,74,92.4,A,Pass,80.44000000000001
620,Student_620,7.7,61,94.2,A,Pass,84.12
621,Student_621,2.7,85,91.1,A,Pass,77.06
631,Student_631,7.4,59,99.7,A,Pass,86.42
639,Student_639,3.4,69,94.6,A,Pass,77.36
642,Student_642,3.9,61,92.7,A,Pass,75.61999999999999
650,Student_650,5.5,61,93.6,A,Pass,79.36
662,Student_662,9.9,63,97.0,A,Pass,90.6
692,Student_692,4.8,99,95.9,A,Pass,86.94
699,Student_699,2.4,65,92.5,A,Pass,73.3
702,Student_702,1.5,57,99.6,A,Pass,74.16
708,Student_708,8.3,81,94.5,A,Pass,89.5
713,Student_713,5.2,96,97.3,A,Pass,87.98
732,Student_732,8.3,95,96.5,A,Pass,93.5
739,Student_739,5.0,63,94.8,A,Pass,79.47999999999999
741,Student_741,5.2,54,92.4,A,Pass,76.64000000000001
744,Student_744,5.5,77,94.1,A,Pass,82.86
759,Student_759,9.0,53,90.7,A,Pass,83.02000000000001
769,Student_769,4.1,62,91.5,A,Pass,75.5
770,Student_770,8.4,90,95.0,A,Pass,91.8
782,Student_782,5.9,61,93.4,A,Pass,80.03999999999999
796,Student_796,8.8,75,99.3,A,Pass,92.18
803,Student_803,6.2,51,97.8,A,Pass,81.28
813,Student_813,2.1,77,94.0,A,Pass,76.0
815,Student_815,8.8,75,97.4,A,Pass,91.03999999999999
817,Student_817,6.3,61,93.3,A,Pass,80.77999999999999
820,Student_820,4.0,97,99.0,A,Pass,86.8
822,Student_822,1.0,64,97.7,A,Pass,73.42
831,Student_831,3.0,99,90.0,A,Pass,79.8
839,Student_839,6.2,96,98.0,A,Pass,90.4
848,Student_848,10.0,62,99.6,A,Pass,92.16
849,Student_849,5.5,71,92.8,A,Pass,80.88
859,Student_859,6.1,77,97.8,A,Pass,86.28
860,Student_860,1.6,84,94.6,A,Pass,76.76
863,Student_863,5.7,91,92.2,A,Pass,84.92
869,Student_869,8.8,62,92.6,A,Pass,85.56
870,Student_870,9.5,53,96.6,A,Pass,87.56
873,Student_873,6.8,79,98.9,A,Pass,88.74
875,Student_875,1.2,56,91.8,A,Pass,68.68
885,Student_885,8.2,91,91.9,A,Pass,89.74000000000001
886,Student_886,2.6,85,98.8,A,Pass,81.48
891,Student_891,7.5,93,97.4,A,Pass,92.03999999999999
